Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7
71,51,63,57,24,80,31
77,18,31,25,20,63,50
36,43,9,74,72,29,21
66,71,15,38,70,68,54
15,58,24,20,23,54,51
55,60,8,17,80,1,59
42,15,77,37,18,55,29
75,48,76,50,71,61,74
5,56,69,37,78,24,58
23,74,37,14,1,53,59
37,75,3,12,71,11,50
15,2,73,13,24,56,39
75,37,6,79,73,28,32
68,15,19,51,60,57,32
3,58,20,21,9,25,64
57,5,52,59,38,55,42
10,50,23,12,30,20,53
33,54,63,26,15,9,70
44,60,49,26,75,55,38
19,39,64,73,37,53,28
15,59,80,75,1,46,65
7,52,78,21,4,55,60
17,12,20,62,16,23,60
62,78,72,80,59,61,4
47,4,49,23,51,75,44
48,22,54,7,74,70,14
8,20,55,31,54,4,48
78,26,15,66,55,24,72
49,8,34,4,25,68,52
9,69,19,44,33,20,1
70,1,63,12,46,52,74
54,19,2,23,25,45,41
62,78,35,30,79,29,13
28,57,48,29,56,60,34
77,20,16,50,25,70,75
10,42,54,72,20,58,59
51,55,12,19,37,6,8
21,69,71,30,35,8,49
61,13,31,28,80,52,41
64,76,36,45,54,35,9
79,25,63,37,75,42,19
19,41,8,78,50,71,47
23,42,10,66,60,52,73
20,66,76,27,21,64,30
28,55,20,71,34,26,76
60,69,8,57,16,36,75
79,25,29,46,64,27,73
59,65,16,52,33,20,80
38,20,12,36,27,17,69
5,24,20,23,77,72,56
30,28,67,27,15,43,52
71,55,42,38,53,29,1
66,71,1,13,60,16,44
38,40,8,20,18,71,48
77,26,43,69,60,37,14
76,14,45,18,44,61,60
56,23,41,31,61,67,12
30,9,47,38,4,32,71
27,9,30,2,72,61,38
55,53,39,69,24,23,54
14,70,4,50,41,64,42
59,16,80,69,19,70,33
13,17,45,62,56,29,48
77,64,44,51,71,56,40
11,28,72,79,59,36,14
16,4,17,24,71,31,59
70,13,20,32,74,79,21
80,52,4,41,24,13,49
78,5,55,10,71,8,38
6,45,8,19,46,73,18
28,52,27,3,78,9,8
1,21,55,6,26,40,36
39,7,3,75,57,42,48
51,25,60,40,20,3,31
50,59,52,12,6,22,72
51,25,64,46,34,52,76
23,19,20,44,49,64,57
38,56,22,44,48,39,52
8,80,37,46,52,39,2
43,15,8,48,44,42,20
66,12,7,80,15,6,68
30,46,42,43,57,64,63
62,28,25,52,11,78,48
4,7,10,73,34,3,27
50,67,9,21,17,36,64
71,80,41,23,19,32,55
55,21,11,37,72,34,25
60,9,75,19,65,40,18
41,4,8,62,72,73,10
73,65,68,71,76,44,69
17,5,76,12,25,57,52
62,9,40,39,1,4,56
46,60,47,8,17,4,30
52,46,34,12,56,79,7
67,34,74,73,30,36,13
9,4,51,20,32,80,36
60,4,45,40,15,66,38
35,28,41,71,40,5,50
12,52,63,60,28,66,5
38,36,74,58,72,70,14
1,76,80,46,63,59,60
28,49,34,77,45,26,48
21,3,80,16,42,71,7
4,66,62,69,58,61,80
10,2,51,75,52,3,17
19,11,18,17,59,73,75
58,13,38,46,6,9,80
34,38,26,5,79,78,20
12,51,10,68,8,15,66
42,41,63,3,14,59,24
2,1,67,69,13,31,8
50,70,39,60,5,67,7
39,17,75,24,4,69,77
17,68,60,79,44,77,18
35,72,20,55,49,3,54
12,62,65,34,4,24,54
51,76,40,79,61,10,33
60,30,68,59,66,29,42
72,11,56,44,19,28,41
14,1,73,44,7,46,51
67,31,47,8,35,43,76
64,67,52,70,48,49,69
54,60,3,17,61,37,56
46,16,43,70,1,71,20
25,72,5,19,41,56,69
37,17,64,23,72,30,16
48,79,1,78,19,9,35
70,27,20,78,38,8,16
10,69,8,22,28,55,70
45,76,30,68,12,51,57
41,11,4,42,40,39,24
26,66,36,19,71,39,78
62,14,26,4,20,52,66
49,2,4,78,51,60,75
23,49,62,8,9,55,58
13,11,52,22,41,3,36
15,32,50,70,58,71,26
60,18,17,33,71,40,34
61,11,27,35,31,44,1
27,47,26,74,25,66,36
26,63,55,47,62,72,21
55,65,76,79,40,61,80
61,4,5,60,26,62,1
12,32,61,31,75,80,70
67,35,2,55,74,75,65
27,79,46,56,15,43,53
49,61,78,70,69,12,76
70,30,27,39,49,73,78
13,29,61,63,62,15,46
8,63,61,10,17,40,79
1,79,65,41,62,47,45
20,8,2,65,16,27,51
3,46,15,10,80,57,20
14,22,1,6,36,19,52
28,23,55,48,71,21,67
77,50,49,70,27,69,19
26,67,29,54,78,63,73
35,30,9,26,28,19,53
12,76,29,56,70,2,28
71,34,35,45,55,16,7
55,70,56,47,80,59,52
50,10,23,47,44,34,72
23,62,27,80,22,77,51
31,36,10,63,33,7,49
39,31,67,45,13,62,80
4,75,51,72,48,71,53
59,29,40,24,8,10,30
79,74,47,31,4,20,15
66,23,39,63,24,51,12
20,55,64,27,56,11,51
9,71,55,64,26,23,35
57,26,47,74,12,32,13
70,34,10,68,6,74,59
35,48,1,4,14,24,3
66,13,30,59,5,32,67
66,25,80,40,34,50,52
25,34,30,62,59,80,12
27,39,80,71,50,11,72
1,38,51,68,63,60,69
56,36,16,73,35,32,74
15,6,63,33,80,32,54
37,3,30,61,51,2,57
39,36,51,71,24,32,16
55,25,36,59,62,48,74
41,62,59,26,7,45,50
30,55,13,29,31,75,34
76,80,30,7,11,61,77
78,79,29,27,77,73,28
53,20,17,31,12,27,35
70,65,23,71,73,68,4
42,34,41,24,27,79,33
71,67,27,14,28,38,7
14,13,45,68,75,27,31
63,33,24,8,72,45,61
62,53,8,40,21,52,13
70,24,11,67,78,5,41
4,11,16,24,55,66,79
69,37,8,30,45,54,64
46,16,17,57,56,60,47
75,79,27,36,31,9,23
30,50,27,78,37,3,40
67,60,76,65,41,73,25
77,61,8,67,73,65,19
21,36,25,78,44,67,45
21,66,35,29,33,41,18
71,2,36,77,30,66,11
59,19,57,55,67,39,61
12,11,15,7,4,70,13
10,47,73,77,33,67,54
61,38,60,51,17,52,26
39,26,5,32,23,56,36
13,35,49,51,43,19,22
35,14,6,52,23,28,12
17,12,66,56,70,6,71
1,50,78,48,4,42,17
55,65,9,41,4,15,57
31,57,48,21,4,13,72
2,74,20,28,48,32,60
54,65,42,19,35,60,45
5,28,65,32,23,9,25
34,79,44,74,38,59,6
3,2,61,56,7,11,65
55,18,72,56,59,10,5
16,14,74,21,20,28,17
